Date,Country/Region,Confirmed,Recovered,Deaths
01/22/2020,Malaysia,0,0,0
01/23/2020,Malaysia,0,0,0
01/24/2020,Malaysia,0,0,0
01/25/2020,Malaysia,3,0,0
01/26/2020,Malaysia,4,0,0
01/27/2020,Malaysia,4,0,0
01/28/2020,Malaysia,4,0,0
01/29/2020,Malaysia,7,0,0
01/30/2020,Malaysia,8,0,0
01/31/2020,Malaysia,8,0,0
02/01/2020,Malaysia,8,0,0
02/02/2020,Malaysia,8,0,0
02/03/2020,Malaysia,8,0,0
02/04/2020,Malaysia,10,0,0
02/05/2020,Malaysia,12,0,0
02/06/2020,Malaysia,12,0,0
02/07/2020,Malaysia,12,1,0
02/08/2020,Malaysia,16,1,0
02/09/2020,Malaysia,16,1,0
02/10/2020,Malaysia,18,1,0
02/11/2020,Malaysia,18,3,0
02/12/2020,Malaysia,18,3,0
02/13/2020,Malaysia,19,3,0
02/14/2020,Malaysia,19,3,0
02/15/2020,Malaysia,22,7,0
02/16/2020,Malaysia,22,7,0
02/17/2020,Malaysia,22,7,0
02/18/2020,Malaysia,22,13,0
02/19/2020,Malaysia,22,15,0
02/20/2020,Malaysia,22,15,0
02/21/2020,Malaysia,22,15,0
02/22/2020,Malaysia,22,15,0
02/23/2020,Malaysia,22,15,0
02/24/2020,Malaysia,22,18,0
02/25/2020,Malaysia,22,18,0
02/26/2020,Malaysia,22,18,0
02/27/2020,Malaysia,23,18,0
02/28/2020,Malaysia,23,18,0
02/29/2020,Malaysia,25,18,0
03/01/2020,Malaysia,29,18,0
03/02/2020,Malaysia,29,18,0
03/03/2020,Malaysia,36,22,0
03/04/2020,Malaysia,50,22,0
03/05/2020,Malaysia,50,22,0
03/06/2020,Malaysia,83,22,0
03/07/2020,Malaysia,93,23,0
03/08/2020,Malaysia,99,24,0
03/09/2020,Malaysia,117,24,0
03/10/2020,Malaysia,129,24,0
03/11/2020,Malaysia,149,26,0
03/12/2020,Malaysia,149,26,0
03/13/2020,Malaysia,197,26,0
03/14/2020,Malaysia,238,35,0
03/15/2020,Malaysia,428,42,0
03/16/2020,Malaysia,566,42,0
03/17/2020,Malaysia,673,49,2
03/18/2020,Malaysia,790,60,2
03/19/2020,Malaysia,900,75,2
03/20/2020,Malaysia,1030,87,3
03/21/2020,Malaysia,1183,114,4
03/22/2020,Malaysia,1306,139,10
03/23/2020,Malaysia,1518,139,14
03/24/2020,Malaysia,1624,183,16
03/25/2020,Malaysia,1796,199,20
03/26/2020,Malaysia,2031,215,23
03/27/2020,Malaysia,2161,259,26
03/28/2020,Malaysia,2320,320,27
03/29/2020,Malaysia,2470,388,35
03/30/2020,Malaysia,2626,479,37
03/31/2020,Malaysia,2766,537,43
04/01/2020,Malaysia,2908,645,45
04/02/2020,Malaysia,3116,767,50
04/03/2020,Malaysia,3333,827,53
04/04/2020,Malaysia,3483,915,57
04/05/2020,Malaysia,3662,1005,61
04/06/2020,Malaysia,3793,1241,62
04/07/2020,Malaysia,3963,1321,63
04/08/2020,Malaysia,4119,1487,65
04/09/2020,Malaysia,4228,1608,67
04/10/2020,Malaysia,4346,1830,70
04/11/2020,Malaysia,4530,1995,73
04/12/2020,Malaysia,4683,2108,76
04/13/2020,Malaysia,4817,2276,77
04/14/2020,Malaysia,4987,2478,82
04/15/2020,Malaysia,5072,2647,83
04/16/2020,Malaysia,5182,2766,84
04/17/2020,Malaysia,5251,2967,86
04/18/2020,Malaysia,5305,3102,88
04/19/2020,Malaysia,5389,3197,89
04/20/2020,Malaysia,5425,3295,89
04/21/2020,Malaysia,5482,3349,92
04/22/2020,Malaysia,5532,3452,93
04/23/2020,Malaysia,5603,3542,95
04/24/2020,Malaysia,5691,3663,96
04/25/2020,Malaysia,5742,3762,98
04/26/2020,Malaysia,5780,3862,98
